type,latitude,longitude,name
Aquarium,-37.82096278,144.9584257,Melbourne Aquarium
Museum,-37.80776441,144.9654639,Old Melbourne Gaol Crime & Justice Experience
Museum,-37.82425743,144.9534781,Polly Woodside
Art Gallery,-37.82199473,144.9688373,Victorian Arts Centre
Art Gallery,-37.81748314,144.969899,The Ian Potter Centre: NGV Australia
Museum,-37.82221828,144.95404,Victoria Police Museum
Museum,-37.81917988,144.9604268,Immigration Museum
Museum,-37.80857613,144.9753737,Fire Services Museum Victoria
Art Gallery,-37.79739396,144.9641567,The Ian Potter Museum Of Art
Art Gallery,-37.81761073,144.9690704,Australian Centre For The Moving Image (ACMI)
Art Gallery,-37.82660454,144.9672529,Australian Centre for Contemporary Art
Museum,-37.80355181,144.9716907,Melbourne Museum
Museum,-37.81895449,144.9846698,National Sports Museum
Museum,-37.81454075,144.980555,Sinclair's Cottage
Museum,-37.81338543,144.9540279,Koorie Heritage Trust Inc
Museum,-37.81446049,144.9794713,Cooks' Cottage
Museum,-37.80460262,144.9715219,Royal Exhibition Building
Museum,-37.81076861,144.9692339,The Museum Of Australian Chinese History
Art Gallery,-37.81886627,144.9839701,Thoroughbred Racing Gallery
Museum,-37.82137443,144.9484967,Fox Classic Car Collection
