type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.82274,144.96863,Gallery Kitchen,Part Ground 180 St Kilda Road SOUTHBANK VIC 3006,Indoor,1000,"-37.79671, 144.96553",258 Elgin Street CARLTON VIC 3053,203,103123,103123,Carlton
Cafes and Restaurants,-37.81953,144.95747,Gami Chicken & Beer,Basement 26 King Street MELBOURNE VIC 3000,Indoor,80,"-37.79783, 144.96517",College Square on Swanston 768-804 Swanston Street CARLTON VIC 3053,204,109359,109359,Carlton
Cafes and Restaurants,-37.81346,144.956,Gami City,"Shop G, 535 Little Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,40,"-37.79946, 144.96489",Royal Dental Hospital 720 Swanston Street CARLTON VIC 3053,205,573289,573289,Carlton
Cafes and Restaurants,-37.80914,144.96872,Gami Training Centre,100 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,48,"-37.799, 144.96477",740-750 Swanston Street CARLTON VIC 3053,205,573290,573290,Carlton
Cafes and Restaurants,-37.81606,144.96583,Ganache Chocolate Lounge,Ground 245 Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,16,"-37.79881, 144.9663",235-237 Faraday Street CARLTON VIC 3053,206,103694,103694,Carlton
Cafes and Restaurants,-37.81372,144.95493,Gangnam Pocha,Pt Lot S2 270 King Street MELBOURNE VIC 3000,Indoor,37,"-37.80046, 144.96655",205-207 Lygon Street CARLTON VIC 3053,206,106113,106113,Carlton
Cafes and Restaurants,-37.80886,144.95168,Gap Cafe,477 King Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,30,"-37.80046, 144.96655",205-207 Lygon Street CARLTON VIC 3053,206,106113,106113,Carlton
Cafes and Restaurants,-37.81402,144.97029,Garcon Paris Steakhouse,"Shop 5, Ground 90 Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,8,"-37.80019, 144.96672",219-221 Lygon Street CARLTON VIC 3053,206,106118,106118,Carlton
Cafes and Restaurants,-37.82274,144.96863,Garden Restaurant,Part Ground 180 St Kilda Road SOUTHBANK VIC 3006,Indoor,160,"-37.80005, 144.96674",225-229 Lygon Street CARLTON VIC 3053,206,106120,106120,Carlton
"Pubs, Taverns and Bars",-37.81553,144.9711,Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,Indoor,326,"-37.79948, 144.96684",255-257 Lygon Street CARLTON VIC 3053,206,106130,106130,Carlton
Cafes and Restaurants,-37.81841,144.95223,Gaslight Project,Part Level 3 699 Bourke Street DOCKLANDS VIC 3008,Indoor,30,"-37.79948, 144.96684",255-257 Lygon Street CARLTON VIC 3053,206,106130,106130,Carlton
Cafes and Restaurants,-37.81387,144.95991,Gasthaus On Queen,211-213 Queen Street MELBOURNE VIC 3000,Indoor,55,"-37.79839, 144.96704",291-299 Lygon Street CARLTON VIC 3053,207,106142,106142,Carlton
