type,latitude,longitude,name
Church,-37.81015764,144.9681682,Wesley Church
Church,-37.81697414,144.954862,St Augustines Church
Church,-37.81045241,144.9638892,Church of Christ
Church,-37.81406671,144.9831973,Holy Trinity
Church,-37.81144878,144.9846649,Melbourne Unitarian Church
Church,-37.79591553,144.9689811,All Nations Uniting Church
Church,-37.80257665,144.9693347,Our Lady of Lebanon Church
Church,-37.79421695,144.9416145,St Alban Anglican Church
Church,-37.79321095,144.9272957,Christ Church Kensington
Church,-37.79480874,144.9283621,Holy Rosary
Church,-37.8169549,144.9676816,St Pauls Cathedral
Church,-37.81188478,144.9624226,St Francis Church
Church,-37.81012812,144.9524686,St James Church
Church,-37.80316637,144.9537615,St Mary's Anglican Church
Church,-37.81456878,144.9685511,Scots Church
Church,-37.81438513,144.969174,St Michael's Uniting Church
Church,-37.80880647,144.9782591,Greek Orthodox Church
Church,-37.80355385,144.9476715,North Melbourne Uniting
Church,-37.84074736,144.985627,South Yarra Presbyterian Church
Church,-37.8101141,144.9759015,St Patricks Cathedral
Church,-37.80523073,144.9669864,Romanian Orthodox
Church,-37.81044788,144.9598733,Welsh Presbyterian Church
Church,-37.80970867,144.9752592,St Peter's Eastern Hill
Church,-37.81097571,144.9757295,Lutheran Trinity Church
Church,-37.82093997,144.9671211,St Johns Lutheran Church
Church,-37.79405127,144.9453995,St Michaels
Church,-37.79630846,144.9443135,Ukranian Catholic Cathedral
Church,-37.81470119,144.9680725,Collins Street Baptist Church
Church,-37.83530769,144.9768091,St Thomas Aquinas Church
Church,-37.83862705,144.9860094,The Parish of Christ Church South Yarra
