type,latitude,longitude,name,address,location,geolocation,website,property_number
Nightclub,-37.81205225,144.9679367,170 Russell/Billboard Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",POINT (144.967936728464 -37.812052247519),"-37.812052247519325, 144.96793672846434",http://billboardsaturdays.com.au/,681548
Hospitality Club,-37.81603,144.96986,Alexandra Club,81 Collins Street MELBOURNE 3000,,,,
Nightclub,-37.81656882,144.943835,Alumbra,"Shed 9, Victoria Harbour, Docklands, 3008",POINT (144.943834998348 -37.816568815),"-37.81656881500009, 144.94383499834845",http://www.alumbra.com.au/,609454
Hospitality Club,-37.80969,144.95798,APC Lounge,375 Queen Street MELBOURNE VIC 3000,,,,
Hospitality Club,-37.80969,144.95798,Asia Pacific Centre,375 Queen Street MELBOURNE VIC 3000,,,,
Nightclub,-37.81119498,144.9640485,Baroq House,"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000",POINT (144.964048451618 -37.811194984484),"-37.81119498448426, 144.9640484516178",,510143
Nightclub,-37.81211909,144.9699348,Bass Lounge,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000",POINT (144.96993476594 -37.812119090749),"-37.8121190907495, 144.9699347659403",,605758
Nightclub,-37.81818043,144.9628289,Bond Lounge Bar,"Ground, 20-24 Bond Street, Melbourne, 3000",POINT (144.962828938799 -37.818180434553),"-37.818180434552545, 144.96282893879925",http://www.bondmelbourne.com.au/,502980
Nightclub,-37.81607553,144.9610047,Chaise Lounge,"Basement, 105 Queen Street, Melbourne, 3000",POINT (144.961004723867 -37.816075533691),"-37.81607553369085, 144.96100472386703",http://www.chaiselounge.com.au/,565097
Nightclub,-37.81961099,144.957393,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",POINT (144.95739295718 -37.819610990111),"-37.81961099011078, 144.95739295718033",http://www.cliquebar.com.au/,567241
Nightclub,-37.82243273,144.9601749,"Club 23, Crown Melbourne","Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",POINT (144.960174881083 -37.822432727203),"-37.82243272720292, 144.9601748810828",http://www.level3atcrown.com.au/,642863
Nightclub,-37.81272938,144.9612212,Club Retro,"383 Lonsdale Street, Melbourne, 3000",POINT (144.961221230339 -37.812729378943),"-37.812729378942684, 144.96122123033936",http://www.clubretro.com.au/,105705
Nightclub,-37.82363502,144.957813,Co.,"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006",POINT (144.957812961254 -37.823635015853),"-37.823635015853306, 144.95781296125432",http://www.level3atcrown.com.au/,540198
Nightclub,-37.80447487,144.9611359,Colour Nightclub,"229 Queensbury St, Carlton,",POINT (144.961135887382 -37.80447486558),"-37.80447486558001, 144.9611358873818",https://www.facebook.com/colournight.club/,107871
Nightclub,-37.81589018,144.9609037,CQ Melbourne,"Ground, 113 Queen Street, Melbourne, 3000",POINT (144.960903667548 -37.815890178212),"-37.815890178211724, 144.9609036675483",http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,604756
Hospitality Club,-37.81638,144.96097,Cub Private Business Club,Level 5-6 95 Queen Street MELBOURNE VIC 3000,,,,
Nightclub,-37.81248789,144.9677712,Eden Bar,"Level 1, 163-165 Russell Street, Melbourne, 3000",POINT (144.967771218557 -37.812487885713),"-37.81248788571263, 144.9677712185572",http://edenbar.com.au/,529290
Nightclub,-37.81726434,144.9563836,El Coco,"Ground, 120 King Street, Melbourne, 3000",POINT (144.956383566258 -37.81726434462),"-37.81726434461992, 144.95638356625756",http://elcoco.com.au/,561179
Nightclub,-37.8111543,144.9682176,Euro House,"Ground, 16-20 Corrs Lane, Melbourne, 3000",POINT (144.968217596379 -37.811154295221),"-37.81115429522088, 144.96821759637908",http://www.eurohouse.com.au/,664075
Nightclub,-37.82629052,144.9594461,Fabrique Bar,"272 City Road, Southbank, 3006",POINT (144.959446062419 -37.826290523184),"-37.82629052318406, 144.95944606241918",http://www.fabriquebar.com/,110392
Nightclub,-37.81895269,144.9570865,Inflation Nightclub/Top Yard Rooftop Bar,"54-60 King Street, Melbourne, 3000",POINT (144.957086510704 -37.81895269154),"-37.81895269154036, 144.95708651070385",http://www.inflation.com.au/aboutus.htm,105395
Nightclub,-37.81359472,144.9611705,Khokolat Bar,"Basement, 43-49 Hardware Lane, Melbourne, 3000",POINT (144.961170479878 -37.8135947193),"-37.81359471929996, 144.96117047987784",http://khokolatbar.com.au/,542683
Nightclub,-37.81555899,144.9555332,La Di Da,"188-200 King Street, Melbourne, 3000",POINT (144.955533161884 -37.815558987309),"-37.815558987309416, 144.95553316188418",https://www.ladidapeople.com/,682450
Nightclub,-37.82248527,144.9600541,Level 3 at Crown,"8 Whiteman Street, Southbank, 3006",POINT (144.960054146799 -37.822485266414),"-37.82248526641422, 144.96005414679885",http://www.level3atcrown.com.au/,110477
Nightclub,-37.81630543,144.9602164,Marrakech Bar,"LwrGround, 25 Bank Place, Melbourne, 3000",POINT (144.960216424481 -37.816305431732),"-37.81630543173182, 144.9602164244812",http://www.marrakechcocktailbar.com.au/,520980
Hospitality Club,-37.81489,144.9708,Melbourne Club Trustees,36-50 Collins Street MELBOURNE 3000,,,,
Hospitality Club,-37.81818,144.95926,Melbourne Savage Club,12-16 Bank Place MELBOURNE 3000,,,,
Nightclub,-37.82242997,144.9600159,Mercury Lounge,"8 Whiteman Street, Southbank, 3006",POINT (144.960015906802 -37.822429972875),"-37.82242997287491, 144.96001590680228",http://www.citybars.com.au/Melbourne_bars/Mercury_Lounge/Bar/25607,110477
Nightclub,-37.81737789,144.9605538,Ms Collins,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000",POINT (144.960553816958 -37.817377888963),"-37.8173778889626, 144.96055381695814",http://www.mscollins.com.au/,587502
Nightclub,-37.81503811,144.9641086,New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",POINT (144.9641086403 -37.815038108402),"-37.81503810840179, 144.96410864029963",http://www.newguernica.com.au/,521316
Nightclub,-37.81914828,144.9623231,Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",POINT (144.962323074868 -37.819148275608),"-37.81914827560788, 144.96232307486835",http://www.platformone.com.au/,547502
Nightclub,-37.81548539,144.9695654,Spice Market,"LwrGround, 121-131 Collins Street, Melbourne, 3000",POINT (144.969565384905 -37.815485385015),"-37.81548538501546, 144.96956538490497",http://www.spicemarket.net.au/,622055
Hospitality Club,-37.81235,144.95964,Steamworks,"Level 1, 279-283 La Trobe Street MELBOURNE 3000",,,,
Hospitality Club,-37.81707,144.97008,Swiss Club of Victoria,"Basement , 87-89 Flinders Lane MELBOURNE 3000",,,,
Nightclub,-37.81650699,144.9612023,The Black Rabbit,"Basement, 85 Queen Street, Melbourne, 3000",POINT (144.961202258384 -37.816506994449),"-37.816506994449085, 144.96120225838388",https://www.blackrabbit.melbourne/,619895
Hospitality Club,-37.81284,144.95799,The Celtic Club,320-322 Queen Street MELBOURNE 3000,,,,
Hospitality Club,-37.80621,144.94858,The Comics Lounge,"Floor 1, 26 Errol Street NORTH MELBOURNE 3051",,,,
Nightclub,-37.81205274,144.9691239,The Croft Institute,"21-25 Croft Alley, Melbourne, 3000",POINT (144.969123893239 -37.812052740785),"-37.8120527407846, 144.96912389323862",http://www.thecroftinstitute.com.au/,101216
Hospitality Club,-37.81592,144.95582,The Essoign Club,"Floor 13, 205-0 William Street MELBOURNE 3000",,,,
Hospitality Club,-37.81479,144.97128,The Lyceum Club,2-18 Ridgway Place MELBOURNE 3000,,,,
Hospitality Club,-37.81489,144.9708,The Melbourne Club,36-50 Collins Street MELBOURNE 3000,,,,
Hospitality Club,-37.81195,144.97249,The Melbourne RSL,27-0 Windsor Place MELBOURNE 3000,,,,
Hospitality Club,-37.81454,144.97139,The Naval And Military Club,25-35 Little Collins Street MELBOURNE 3000,,,,
Hospitality Club,-37.81707,144.97008,The Swiss Club of Victoria,"Basement , 87-89 Flinders Lane MELBOURNE 3000",,,,
Nightclub,-37.82381122,144.9574145,Therapy Nightclub  at Crown,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006",POINT (144.957414492976 -37.823811222171),"-37.82381122217111, 144.95741449297574",http://www.level3atcrown.com.au/,540197
Nightclub,-37.8197758,144.9574698,Tramp Bar,"Basement, 20 King Street, Melbourne, 3000",POINT (144.95746975329 -37.819775804387),"-37.819775804387085, 144.95746975329038",https://trampbar.com/,631874
Nightclub,-37.80345202,144.9666383,Vodka Temple,"Ground, 160-162 Lygon Street, Carlton, 3053",POINT (144.966638338066 -37.803452023533),"-37.80345202353251, 144.9666383380664",https://www.vodkatemple.com.au/,567595
Nightclub,-37.82794972,144.9574234,XE54 Nightclub,"Basement, 334-342 City Road, Southbank, 3006",POINT (144.957423361653 -37.827949717788),"-37.82794971778835, 144.95742336165304",,609329
