type,latitude,longitude,name,address,number_of_seats
Performance space,-37.82155286,144.968885,Arts Centre Melbourne,"100 St Kilda Road, Southbank, 3006",
Venue,-37.81120983,144.9567972,Bird's Basement,"11 Singers Lane, Melbourne, 3000",
Venue,-37.81667148,144.9588461,The Australian Club,"110 William Street, Melbourne, 3000",
Venue,-37.81672152,144.9694951,The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",
Performance space,-37.81482479,144.9683182,Assembly Hall,"156 Collins Street, Melbourne, 3000",
Theatre,-37.8106837,144.9725545,The Princess Theatre,"163-181 Spring Street, Melbourne, 3000",
Performance space,-37.78783638,144.9416332,Ormond Hall,"17 Church Street, Parkville, 3052",
Amusement/Theme Venue,-37.8228987,144.9695693,National Gallery of Victoria,"180 St Kilda Road, Southbank, 3006",
Theatre,-37.81509631,144.9673102,Athenaeum Theatre,"184-192 Collins Street, Melbourne, 3000",
Theatre,-37.81534585,144.967538,Regent Theatre,"191-197 Collins Street, Melbourne, 3000",
Theatre,-37.81089991,144.9698418,Her Majesty's Theatre,"199-219 Exhibition Street, Melbourne, 3000",
Performance space,-37.81839878,144.9689659,Federation Square,"2 Swanston Street, Melbourne, 3000",
Venue,-37.80601961,144.9585523,The Last Chance Rock & Roll Bar,"238 Victoria Street, Melbourne, 3000",
Theatre,-37.81021736,144.9698959,The Comedy Theatre,"240 Exhibition Street, Melbourne, 3000",
Amusement/Theme Venue,-37.81232,144.96441,AFL World,292 Little Lonsdale Street MELBOURNE 3000,60
Venue,-37.81071423,144.9604994,Duke Of Kent Hotel,"293-299 La Trobe Street, Melbourne, 3000",
Performance space,-37.81143777,144.9461726,Festival Hall,"300 Dudley Street, West Melbourne, 3003",
Amusement/Theme Venue,-37.78040735,144.91438,Melbourne Showgrounds,"300 Epsom Road, Flemington, 3032",
Theatre,-37.80159051,144.9537282,Meat Market Art Centre,"36-54 Courtney Street, North Melbourne, 3051",
Venue,-37.81355853,144.9607541,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",
Venue,-37.80545937,144.9632755,Arrow On Swanston,"488 Swanston Street, Carlton, 3053",
Performance space,-37.80618853,144.9575349,Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",
Venue,-37.81290578,144.9713687,Boney,"68 Little Collins Street, Melbourne, 3000",
Amusement/Theme Venue,-37.80900975,144.9526862,Witches In Britches,"78-86 Dudley Street, West Melbourne, 3003",
Performance space,-37.81491254,144.9664536,Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",
Performance space,-37.82396877,144.9825546,AAMI Park,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004",
Performance space,-37.82300094,144.9748203,Sidney Myer Music Bowl / Alexandra Gardens,"Alexandra Avenue, Melbourne, 3004",
Venue,-37.81537653,144.970897,Cherry Bar,"Basement, 103 Flinders Lane, Melbourne, 3000",
Performance space,-37.81539881,144.9643969,Basement Discs,"Basement, 24 Block Place, Melbourne, 3000",
Venue,-37.81738056,144.9423024,Victoria Star Cruises,"Berth 10, Victoria Harbour, Docklands, 3008",
Performance space,-37.78535415,144.9531734,Melbourne Zoo,"Elliott Avenue, Parkville, 3052",
Venue,-37.81474151,144.9660093,Max Watt's,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",
Venue,-37.80432381,144.9501153,Club Voltaire,"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051",
Amusement/Theme Venue,-37.80919,144.96175,Marche Board Game Cafe,"Ground , 61-69 A'Beckett Street MELBOURNE 3000",70
Venue,-37.80621217,144.9658161,The Curtin,"John Curtin Hotel, 27-31 Lygon Street, Carlton, 3053",
Performance space,-37.8132351,144.9688372,The Kelvin Club,"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000",
Performance space,-37.81509906,144.9674691,The Athenaeum,"Level 1, 188 Collins Street, Melbourne, 3000",
Amusement/Theme Venue,-37.81338,144.93785,Monkey Mania,"Level 1, 23-37 Star Crescent DOCKLANDS 3008",100
Venue,-37.80449837,144.9495408,The Comic's Lounge,"Level 1, 26 Errol Street, North Melbourne, 3051",
Theatre,-37.82035793,144.9569663,Speakeasy HQ,"Level 1, 520-522 Flinders Street, Melbourne, 3000",
