type,latitude,longitude,asset_id,history,owner_type,title,art_date,company,service_manager,makers,property,description,classification,Geo Point,Geo Shape,road_segment,location
Artwork,-37.8243,144.9476,1560967,,Not Owned,HeartLand,2003,VicUrban,,Karen Casey,,"Shimmering energy fields representing life, renewal and journeying - and echoing the patterns on Aboriginal artefacts - appear superimposed on the glass front of the building. Heartland incorporates a rear-illuminated, animated image developed from imprints and earth mouldings taken from the site. A cyclical lighting sequence evokes the ebb and flow of the river as well as the rising and setting of the sun. This luminescent textural surface gradually pulses and shifts in colour, like a heartbeat within the work.",Unknown,"-37.82433720574863, 144.94761915571905","{""coordinates"":[144.94761915571905,-37.82433720574863],""type"":""Point""}",,"Approximately 9m SE of Noel Robinson Architects, 52 River Esplanade, Docklands, 3008"
Artwork,-37.8249,144.9474,1560992,,Not Owned,Photo Art Billboard,Unknown,VicUrban,,Various artists,,"The billboard site at Yarra's Edge, Tower 1 Lorimer Street, exhibits a new photographic image by an Australian artist every 6 to 8 months. The billboard has become a local landmark, featuring some of Australia's best known contemporary artists.",Illustrations,"-37.8249065499163, 144.94742694404235","{""coordinates"":[144.94742694404235,-37.8249065499163],""type"":""Point""}",,"Approximately 38m East of Lucas Real Estate (MLJV Pty Ltd), 62 River Esplanade, Docklands, 3008"
Artwork,-37.8143,144.9455,1562896,,Not Owned,Field of Play,2007,,,Troy Innocent,The Innovation Building,"Walking down Harbour Lane is like walking into a virtual game world, especially at night when illuminated icons really come to life. The colourful icons are embedded under foot and in the walls at the end of the lane, like futuristic graffiti. They define a playing field that can be activated via mobile phone (using Bluetooth). If you have a phone with you, connect and join the game now or later at www.fieldofplay.net.",Sculpture,"-37.8142734273307, 144.94546323616404","{""coordinates"":[144.94546323616404,-37.8142734273307],""type"":""Point""}",,"The Innovation Building approximately 52m East of NBN, Ground & Lvls 1-2 & 4, 192 Harbour Esplanade, Docklands, 3008"
Artwork,-37.8215,144.9504,1560996,,Not Owned,The Wave,2006,VicUrban,,Vashti Gonda,V1 Village Docklands,"The Wave was inspired by the past and present of Docklands, paying homage to the intrepid nature of the human spirit. The waving figure plays on the `wave' gesture, the `wave' of the sea and the figurehead of a ship to celebrate the movement and immigration that creates a port area. Loved ones greet and farewell seamen, soldiers and migrants, saying goodbye to the past and welcoming the future.",Unknown,"-37.82149344290819, 144.9504373092443","{""coordinates"":[144.9504373092443,-37.82149344290819],""type"":""Point""}",,"V1 Village Docklands approximately 4m South of Colebrook Bosson Saunders, 15 Brentani Way, Docklands, 3008"
Artwork,-37.818,144.9691,1560995,,Not Owned,Nearamnew,2003,Federation Square,,Paul Carter,Federation Square,"Artist and writer Paul Carter collaborated with the architects of Federation Square on Nearamnew, a vast Square paving design with poetic text inscriptions. Fragmented voices of historical and fictional characters can be deciphered in nine locations around the site, relating the history of the site and poetic visions of the Federation ideal.",Unknown,"-37.817969059842106, 144.96906199923544","{""coordinates"":[144.96906199923544,-37.817969059842106],""type"":""Point""}",,"Federation Square approximately 42m North of Deakin Edge Theatre at Fed Square, Deakin Edge, Federation Square, 2 Swanston Street, Melbourne, 3000"
Artwork,-37.8196,144.9513,1560991,,Not Owned,Parallax,2003,VicUrban,,Ari Purhonen,,"Sydney-based artist Ari Purhonen's colourful public installations play with parallax and perspective, using colour to offer a range of views and experiences. In this piece, coloured vertical louvres accentuate the dynamics of this energetic new urban environment. The work is designed to be viewed by motorists on Wurundjeri Way as well as pedestrians using the Collins Street Bridge, offering a changing colour field depending on the position of the viewer.",Unknown,"-37.81960598167001, 144.9513254111904","{""coordinates"":[144.9513254111904,-37.81960598167001],""type"":""Point""}",,"Approximately 29m NW of 43 Wurundjeri Way, Docklands, 3008"
Artwork,-37.8143,144.945,1562804,,Not Owned,Colony,2008,VicUrban,,Troy Innocent,Life Lab,"A network of 48 totems is embedded in the `Forest Walk' environment of Digital Harbour. At night, the totems are silhouetted by a changing spectrum of light, and the forest comes alive with a cacophony of sound. This interactive landscape responds to human presence both on site and online.",Sculpture,"-37.81430288960753, 144.94495681027365","{""coordinates"":[144.94495681027365,-37.81430288960753],""type"":""Point""}",,"Life Lab approximately 9m NE of NBN, Ground & Lvls 1-2 & 4, 192 Harbour Esplanade, Docklands, 3008"
Artwork,-37.8145,144.9406,1560969,,Not Owned,Ned and Dan,2006,VicUrban,,Alexander Knox,,"This three-dimensional frieze is inspired by Sidney Nolan's 1946 Ned Kelly paintings. The Australian landscape is represented by the undulating façade walls, which are treated with a unique ""pixelated"" perforation method that produces complex shadow plays. The helmet-like corner nodes are references to the Kelly masks; they frame the mirrored sculptures within, reflecting a morphing vista of sunlight and sky that moves gently in silent tribute to the waves of the sea.",Unknown,"-37.81452431106299, 144.9406088500888","{""coordinates"":[144.9406088500888,-37.81452431106299],""type"":""Point""}",Caravel Lane between Rakaia Way and Dopel Way,"Caravel Lane between Rakaia Way and Dopel Way approximately 4m NE of Lexy Group, 37 Caravel Lane, Docklands, 3008"
Artwork,-37.8144,144.9411,1560971,,Not Owned,Outside Inside Out,2005,VicUrban,,Matthew McCarthy,The Arkley,"This colossal mural by designer Matthew McCarthy and typographer Andrew Trevillian spans 45 metres and sits over four levels at the ear of NewQuay's Arkley Tower. A typographical tribute to the late Australian painter Howard Arkley, it is a raw and elegant interplay of typography, words and meaning that evokes the Australian urban psyche. The work was recognised by the Australian Graphic Design Association in its 2006 National Biennial Awards for Creative Excellence.",Illustrations,"-37.8143592312937, 144.94113017903652","{""coordinates"":[144.94113017903652,-37.8143592312937],""type"":""Point""}",,"The Arkley approximately 22m West of Aqua Hair Design, Tenancy 12, 15 Saint Mangos Lane, Docklands, 3008"
Artwork,-37.8224,144.9703,1603285,Donated to the City of Melbourne Art and Heritage Collection by Wonderment Walk Victoria.<br>Installed 14 December 2015,Owned,Frog,2013,City of Melbourne,,"Olsen, John",Queen Victoria Gardens,Large 2 metre high bronze sculpture of a frog by John Olsen installed in the Children 's Pond in Queen Victoria Gardens. Installed 14 December 2015  ,Sculpture,"-37.82239149972142, 144.97029065221597","{""coordinates"":[144.97029065221597,-37.82239149972142],""type"":""Point""}",,Queen Victoria Gardens
Audio Visual Artwork,-37.8139,144.9466,1562897,,Not Owned,Structure of Vortices,2012,,,Cameron Robbins,,"Cameron Robbins is an artist with a deep interest in natural forces, and he naturally chose water as the subject of this video installation projected on the façade of the Melbourne Water building. It reveals the magnificent behaviour of vortex, which parallels that which appears in larger parts of the natural world such as cyclones and galaxies. Sometimes appearing like an avid dancer and a creature at another time, the vortex continually mesmerises viewers. Viewable from the Western elevation of 990 La Trobe from dusk.",Unknown,"-37.81394408497868, 144.94655537163678","{""coordinates"":[144.94655537163678,-37.81394408497868],""type"":""Point""}",Digital Drive,"Digital Drive approximately 64m NW of O-Bento, Shop 2, Ground, 990 La Trobe Street, Docklands, 3008"
Bandstand,-37.8118,144.9827,1088144,,Owned,Bandstand,1864,City of Melbourne,Arts & Culture Branch,"DODD, George",Fitzroy Gardens,"George Dodd designed and constructed this elegant, Corinthian-style bandstand in 1864. Its sides are enclosed with low cast-iron fencing and its roof is tiled. Standing stately atop the rise on the eastern side of the Fitzroy Gardens, it affords views back over the historical gardens to the bustling city centre. ",Sculpture,"-37.81182206803026, 144.9826570546702","{""coordinates"":[144.9826570546702,-37.81182206803026],""type"":""Point""}",,"Fitzroy Gardens approximately 72m West of Toilet Opposite, 150 Clarendon Street, East Melbourne, 3002"
Bricks,-37.811,144.9784,1088150,,Owned,People's Path,1978-1979,City of Melbourne,Arts & Culture Branch,"Sprague, Ian et al.",Fitzroy Gardens,"This work comprises approximately 10,000 standard terracotta bricks set in the three concentric circles surrounding a raised garden bed, with plantings of palms and ivy. The exposed face of each brick features a hand-etched drawing. The associated plaque advises that the `tiles' were made by the people of Victoria on the opening day of the Arts Victoria 78 Craft Festival. The path was opened by the Hon. R.J. Hamer, then premier and arts minister, on the 18 February 1979.  People's Path originates from a community art project, providing a metaphorical means by which the community can take ownership of a public space. ",Sculpture,"-37.811023513897744, 144.9783891748421","{""coordinates"":[144.9783891748421,-37.811023513897744],""type"":""Point""}",,"Fitzroy Gardens approximately 55m SE of Maintenance Sheds, St Patricks Cathedral, 7 Lansdowne Street, East Melbourne, 3002"
Bust,-37.8047,144.9725,1086514,,Owned,Dr Louis Smith,1914,City of Melbourne,Arts & Culture Branch,"McKennal, Sir Edgar Bertram",Exhibition Building & Melbourne Museum,"Bronze bust of Dr Louis Smith on granite pedestal. Unveiled on 26 March 1914 by Sir Henry Weedon.  The bust was situated in the gardens east of the Royal Exhibition Building between 1914 and 1996.|The sculpture was removed from the site to protect it when work commenced on the new Melbourne Museum.  It has since been returned to its original site. Born in London in 1830, Dr Louis Smith immigrated to Melbourne in 1852. Besides medicine, Smith had a career as a politician, during which he was accused and acquitted of corruption several times. An important figure during the development of the Exhibition Building, Smith was chair of the trustees from 1884 to 1909 and a trustee from 1881 until his death in 1910. Bertram Mackennal's bronze bust of Smith was funded by public subscription and is sited at the eastern entrance to his beloved building.  Born in London in 1830, Smith studied medicine in Paris and London before migrating to Melbourne in 1852 as a ship 's surgeon.  The next year he opened a surgery in Bourke Street, and soon became quite successful.    Sir Edgar Bertram MacKennal- Born in Fitzroy in 1863, Mackennal studied at the Melbourne Model School, King 's College, and the National Gallery.  He travelled to London, Paris and Italy in 1882, before being appointed head of modelling and design at Coalport Potteries in Shropshire in 1886.|He briefly returned to Melbourne to make relief panels for Parliament House, but soon returned to Paris in 1891.  He exhibited at the Royal Academy in 1895 and soon found himself in demand.  Some of his commissions include Queen Victoria (in England, India and Ballarat), the statues of Cardinal Moran and Archbishop Kelly at St Mary 's Cathedral, Sydney, the medal for the London Olympics and several statues around Melbourne including Sir William Clarke and King Edward VII. He was Knighted in 1921, and elected to the Royal Academy in 1922.",Sculpture,"-37.80474430914415, 144.97245207113764","{""coordinates"":[144.97245207113764,-37.80474430914415],""type"":""Point""}",,"Exhibition Building & Melbourne Museum approximately 96m West of Royal Exhibition Building, 9 Nicholson Street, Carlton, 3053"
Bust,-37.8141,144.9786,1086727,,Owned,Mary Gilbert Memorial,1975,City of Melbourne,Arts & Culture Branch,"O'Connor, Ailsa",Fitzroy Gardens,"A torso figure of Mary Gilbert Ailsa O'Connor studied at RMIT and worked as a painter and then draughtsperson before taking up sculpture full time in the 1970s. Throughout her life, she was active in a number of organisations that sought to achieve equality for women, such as the Women's Progressive Movement. The sculpture was exhibited in 1975 and subsequently purchased by the City of Melbourne. It was unveiled by the Lady Mayoress, Barbara Walker, on 26th November 1975  O'Connor's interest in feminism and women's history is apparent in this work, which in part carries the inscription: `Mary gave birth to a son, the first white child born in the Port Phillip settlement, on 29 December 1835. As servants of John Pascoe Fawkner, Mary and her husband James Gilbert were in the original party of settlers who landed from the schooner Enterprise on 30 August 1835.' O'Connor claimed of Mary Gilbert that she was a `sort of proletarian founding mother'. ",Sculpture,"-37.81407567751222, 144.9785602548242","{""coordinates"":[144.9785602548242,-37.81407567751222],""type"":""Point""}",,"Fitzroy Gardens approximately 68m East of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002"
Bust,-37.8137,144.9726,1088073,"The bust was handed over to Sir Samuel Gillott in the Melbourne Town Hall Council Chamber by Mr H. Butler in November 1905.<br><br>Sir Samuel Gillott was Melbourne's first lord mayor, serving from 1902 to 1903. The period he spent in office was not without controversy, and his political career came to a blunt conclusion in 1906 when he was found in compromising circumstances. In 1904 the Truth newspaper alleged that he had been secretly funding the Madam Brussells brothel, an establishment frequented by some of Melbourne's most influential people.<br><br>",Owned,Sir Samuel Gillott,1905,City of Melbourne,Arts & Culture Branch,"Richardson, Charles Douglas",,"Italian marble bust of Sir Samuel Gillott wearing Mayoral chains  Sir Samuel Gillott b. Sheffield, England 1838  arr. Melbourne 1856 d Sheffield, England 1913 Mayor 1900-1902, Lord Mayor 1902-1903   ",Sculpture,"-37.81372573647249, 144.97261542256064","{""coordinates"":[144.97261542256064,-37.81372573647249],""type"":""Point""}",Collins Street between Spring Street and Exhibition Street,"Collins Street between Spring Street and Exhibition Street approximately 22m SE of The Melbourne Club, 36 Collins Street, Melbourne, 3000"
Cairn,-37.7889,144.9561,1086725,,Owned,Burke & Wills Cairn,1890,City of Melbourne,Arts & Culture Branch,Unknown,Royal Park,"On 20 August 1860, some 15,000 Melburnians gathered at Royal Park to farewell the 18 members of the Victorian Exploring Expedition, led by Robert O'Hara Burke. This stone cairn marks the expedition's departure point.  Soon after the tragedy, a fence was placed around a tree near their departure point. In 1890, the fence was removed and this cairn was erected about 180 metres east of the tree. ",Sculpture,"-37.78892811780881, 144.95605810687638","{""coordinates"":[144.95605810687638,-37.78892811780881],""type"":""Point""}",,Royal Park
Cairn,-37.8081,144.9576,1086726,,Owned,John Batman Memorial,1881,City of Melbourne,Arts & Culture Branch,"Brown, J. W.",Queen Victoria Market,"Bluestone cairn with upper and lower plinths. A low fence surrounds the cairn. John Batman is best known as a founding father of Melbourne. A prosperous Tasmanian farmer, he looked to Victoria to increase his grazing lands. In 1835, Batman made his controversial `treaty' with Wurundjeri elders and returned to Launceston to make arrangements for the new settlement. On returning to Victoria some months later, he found John Pascoe Fawkner had already settled the site of Melbourne. With his health declining, he settled on Batman's Hill, near the present site of the Southern Cross Railway Station. He died of syphilis just four years later in 1839.  Batman was buried in the old Melbourne cemetery (since 1922 the Queen Victorian Market), but no headstone marked his grave. When interest in Batman arose 40 years later it was near impossible to establish his burial place. Once found, a bluestone monument was erected in his memory. In 1922, the cemetery was de-registered and the monument moved to the north bank of the Yarra at Swan Street Bridge. Batman's remains were exhumed and re-interred in the Fawkner Cemetery, named, ironically, in honour of his archrival. The monument was later returned to its original site. ",Sculpture,"-37.80813550681884, 144.95764591736565","{""coordinates"":[144.95764591736565,-37.80813550681884],""type"":""Point""}",,"Queen Victoria Market approximately 20m South of Market Espresso & Trolley Hire, Trolley Hire, Queen Victoria Market, Victoria Street, Melbourne, 3000"
Cenotaph,-37.8052,144.9487,1562801,,Owned,North Melbourne War Memorial,1926,City of Melbourne,,H.B.Corben & Sons Pty. Ltd.,King & Victoria Street Reserve,"Sculpted memorial to residents of North and West Melbourne who died in the First World War, Second World War, Korea, Malaya, Sabah Sarawak, Malaya and Vietnam. The cenotaph is a stone column and ball on a stone plinth and two-stepped base.",Memorials,"-37.805233515414656, 144.94868041774336","{""coordinates"":[144.94868041774336,-37.805233515414656],""type"":""Point""}",,King & Victoria Street Reserve
Cenotaph,-37.8218,144.9748,1091176,,Owned,Victorian Rowing Association World War 1 Memorial,1920,City of Melbourne,Arts & Culture Branch,Unknown,Alexandra Gardens,Grey granite cenotaph with bronze plaques.  Names of deceased soldiers listed by districts.  NOTE: CG 31/05 - This is not owned by CoM and will not be published on the website.,Memorials,"-37.8217592722394, 144.9747725916972","{""coordinates"":[144.9747725916972,-37.8217592722394],""type"":""Point""}",,Alexandra Gardens
Drinking Fountain,-37.8015,144.9602,1086757,,Owned,Thomas Ferguson Memorial Drinking Fountain,1911,City of Melbourne,Parks Services Branch,Unknown,University Square,"A square granite fountain with four basins on each side, sitting on a bluestone plinth.  Thomas Ferguson devoted his life to the cause of the Total Abstinence Society. The fountain was initially constructed in the centre of Russell Street opposite the Temperance Hall. It was six metres high and far more elaborate than it is today. With the rise in the use of motorcars, such street ornaments became traffic hazards and in 1947 the fountain was badly damaged when a truck hit it. It was later resurrected in a modified from in its current site. Unveiled 1 July 1911 ",Memorials,"-37.80153947884793, 144.96022724856095","{""coordinates"":[144.96022724856095,-37.80153947884793],""type"":""Point""}",,University Square
Drinking Fountain,-37.7983,144.9706,1086585,,Owned,William Ievers (Jnr) Memorial Drinking Fountain,1915,City of Melbourne,Parks Services Branch,"Richardson, Charles Douglas",Macarthur Square,"Shrine like architectural structure summounted by life size bust of William Ievers (Jnr). Architecture structure: bluestone steps, grey Harcourt & red Finland granite. Bust: white marble. Drinking element in base, under canopy.  Richardson sculpted three memorial fountains dedicated to the Ievers family, who donated them to the community in thanks for its support. William Jnr (1881'95), William Snr (1895'1901), and George Hawkins (1901'21) consecutively represented the Smith Ward for a period of 40 years. George Ievers proposed the fountains in 1913 as part of a beautification scheme coordinated by the Parks & Gardens Committee, of which he was a member. At the unveiling of this second monument, Minister Mutchinson claimed: `the residents of Melbourne should be grateful to the Parks & Gardens Committee for having transformed ugly, vacant spaces into beauty spots and breathing spaces for the city'.  ",Memorials,"-37.798257825618585, 144.97056462844986","{""coordinates"":[144.97056462844986,-37.798257825618585],""type"":""Point""}",,"Macarthur Square approximately 30m North of 71 Macarthur Place South, Carlton, 3053"
Drinking Fountain,-37.8184,144.9789,1091179,"Sir William Brunton was the lord mayor of Melbourne from 1923 to 1926. He was the powerhouse behind the Lord Mayor's Hospital Fund, a founder of the National War Memorial Committee and an advocate of parks and gardens for public recreation. Following his service, Brunton offered this ornamental granite and bluestone drinking fountain to the Parks & Gardens Committee.",Owned,Brunton Drinking Fountain West,1938,City of Melbourne,Parks Services Branch,Unknown,Yarra Park,Granite drinking fountain,Memorials,"-37.818409101326395, 144.9788554339231","{""coordinates"":[144.9788554339231,-37.818409101326395],""type"":""Point""}",,"Yarra Park approximately 46m South of GRA, 110 Jolimont Road, East Melbourne, 3002"
Drinking Fountain,-37.7821,144.957,1091152,,Owned,Elliot Drinking Fountain,1936,City of Melbourne,Parks Services Branch,Unknown,Royal Park,Granite drinking fountain: A new road through Royal Parkland near the Zoo was finished in 1936. The road was named Elliot Avenue after Councillor Henry Elliot represented Smith ward from 1903 to 1936. A drinking fountain was erected in his honour.,Memorials,"-37.78205004489441, 144.95696668881737","{""coordinates"":[144.95696668881737,-37.78205004489441],""type"":""Point""}",,"Royal Park approximately 92m NW of 198 The Avenue, Parkville, 3052"
Drinking Fountain,-37.7856,144.9693,1086758,,Owned,R.J. & F.G.J. Hardy Memorial Drinking Fountain,1939,City of Melbourne,Parks Services Branch,Unknown,,"Stone Drinking Fountain also known as Hardy Drinking Fountain.  In 1939, this stone fountain was erected and the reserve named in honour of Robert John Hardy, who represented the Victoria Ward from 1915 to 1937. The fountain also honours his son, Frederick George Jack Hardy, who succeeded him and represented the ward for 37 years. In May 1977, a plaque was unveiled on each side of the fountain, recognising the services of the men. Unveiled 1939     ",Memorials,"-37.785591277837064, 144.96931421689305","{""coordinates"":[144.96931421689305,-37.785591277837064],""type"":""Point""}",,"Approximately 30m NE of CitiPower, Substation 5, Macpherson Street, Carlton North, 3054"
Drinking Fountain,-37.8066,144.9599,1086755,,Owned,Duke & Duchess of York Memorial,1901,City of Melbourne,Parks Services Branch,"Churchman & Sons, J.",,"Memorial stone drinking fountain enclosed by four turned sandstone pillars and stone canopy with painted gothic arches.  The canopy surmounted by a symbolic ""Rule Britannia"" figure - a draped sculpture of a woman holding an anchor.  This stone drinking fountain commemorates the visit of the Duke and Duchess of Cornwall and York, who visited Australia soon after Edward VII's ascension to the throne. During their stay in Melbourne, they opened the first Federal Parliament on 9 May 1901.   The memorial fountain, with its sandstone pillars and symbolic figure of Britannia, was presented to the City of Melbourne by the Women's Christian Temperance Union of Australia in an effort to promote abstinence. In part, its inscription reads: `For God, home and humanity'   ",Memorials,"-37.806629217036544, 144.95990887514094","{""coordinates"":[144.95990887514094,-37.806629217036544],""type"":""Point""}",Elizabeth Street between Therry Street and Victoria Street,"Elizabeth Street between Therry Street and Victoria Street approximately 14m West of Activia Hair Fashion, 514A Elizabeth Street, Melbourne, 3000"
Drinking Fountain,-37.8212,144.9708,1091170,,Owned,Domed Drinking Fountain,1936,City of Melbourne,Parks Services Branch,Unknown,Queen Victoria Gardens,"Ornately carved granite drinking fountain. Ottoman style motifs. Drinking taps not original.   Little is known about the origins of this domed drinking fountain. It bears Ottoman-style motifs and no longer carries its original taps. Early photographs show that a very similar fountain was once positioned on Collins Street, but there is no other evidence to confirm it is the same fountain. It was suggested that this fountain be relocated to Queen Victoria Gardens, where it would serve as a memorial to Cookie, a resident and much-loved black swan. But a new memorial fountain to Cookie was erected in Alexandra Gardens in 1974. ",Memorials,"-37.821240390015305, 144.97076945357304","{""coordinates"":[144.97076945357304,-37.821240390015305],""type"":""Point""}",,Queen Victoria Gardens
