type,latitude,longitude,name
Park/Garden/Reserve,-37.80606846,144.9712665,Carlton Gardens South
Park/Garden/Reserve,-37.82184609,144.9566658,Batman Park
Park/Garden/Reserve,-37.81806108,144.9731467,Birrarung Marr
Park/Garden/Reserve,-37.82078871,144.9729518,Riverslide Skate Park
Park/Garden/Reserve,-37.79061743,144.9538342,Royal Park
Park/Garden/Reserve,-37.8320734,144.9736284,Shrine of Rembrance Reserve
Park/Garden/Reserve,-37.83066316,144.9808504,Royal Botanic Gardens
Park/Garden/Reserve,-37.82046937,144.9866711,Yarra Park
Park/Garden/Reserve,-37.81299207,144.9890626,Darling Square
Park/Garden/Reserve,-37.80985262,144.9734622,Parliament Reserve
Park/Garden/Reserve,-37.80176908,144.9719976,Carlton Gardens North
Park/Garden/Reserve,-37.82552398,144.9741079,Kings Domain
Park/Garden/Reserve,-37.81439936,144.9759523,Treasury Gardens
Park/Garden/Reserve,-37.82163812,144.9710495,Queen Victoria Gardens
Park/Garden/Reserve,-37.81785166,144.9689636,Federation Square
Park/Garden/Reserve,-37.81521788,144.9416179,New Quay
Park/Garden/Reserve,-37.78784733,144.9229721,Newmarket Reserve
Park/Garden/Reserve,-37.79823588,144.9238371,J.J Holland Park
Park/Garden/Reserve,-37.81112229,144.9546961,Flagstaff Gardens
Park/Garden/Reserve,-37.84139967,144.9816257,Fawkner Park
Park/Garden/Reserve,-37.81296163,144.9804557,Fitzroy Gardens
Park/Garden/Reserve,-37.82021027,144.9592769,Enterprize Park
Park/Garden/Reserve,-37.79833187,144.9715141,Macarthur Square
Park/Garden/Reserve,-37.83149186,144.9088248,Westgate Park
Park/Garden/Reserve,-37.8201763,144.9629811,Sandridge Rail Bridge
Park/Garden/Reserve,-37.80279197,144.9627609,Lincoln Square
Park/Garden/Reserve,-37.80041071,144.9603983,University Square
Park/Garden/Reserve,-37.81169299,144.9872757,Powlett Reserve
Park/Garden/Reserve,-37.821674,144.9881563,Richmond Football Club
Park/Garden/Reserve,-37.82099568,144.9467817,Docklands Park
Park/Garden/Reserve,-37.82335227,144.9421023,Point Park
Park/Garden/Reserve,-37.82060514,144.9717961,Alexandra Gardens
Park/Garden/Reserve,-37.79883453,144.9414521,North Melbourne Recreation Reserve
Park/Garden/Reserve,-37.78701617,144.9611152,Princes Park
Park/Garden/Reserve,-37.80314806,144.9657613,Argyle Square
Park/Garden/Reserve,-37.80251642,144.9658631,Piazza Italia
Park/Garden/Reserve,-37.8002735,144.9730593,Murchinson Square
Sports & Recreation Facility,-37.78343039,144.9619826,Visy Park
Sports & Recreation Facility,-37.82472527,144.983803,AAMI Park
Sports & Recreation Facility,-37.82132521,144.9775911,Margaret Court Arena
Sports & Recreation Facility,-37.799947,144.9432908,North Melbourne Recreation Centre (Aquatic)
Sports & Recreation Facility,-37.78408644,144.9619678,Carlton Football Club
Sports & Recreation Facility,-37.79080826,144.912143,Flemington Racecourse
Sports & Recreation Facility,-37.81949216,144.9834029,Melbourne Cricket Ground (MCG)
Sports & Recreation Facility,-37.82204561,144.9784872,Rod Laver Arena
Sports & Recreation Facility,-37.8209086,144.9787358,Melbourne Park
Sports & Recreation Facility,-37.82311,144.9818348,Hisense Arena
Sports & Recreation Facility,-37.80715854,144.9631898,City Baths
Sports & Recreation Facility,-37.81617605,144.9474963,Etihad Stadium
Sports & Recreation Facility,-37.785786,144.947581,State Netball Hockey Centre
Sports & Recreation Facility,-37.82424569,144.9797203,Westpac Centre
Golf Course,-37.81169454,144.9368337,Wonderland Park
Golf Course,-37.79483753,144.9156071,Riverside Park
Zoo,-37.78444493,144.9513712,Melbourne Zoo
Recreational Reserve,-37.78230979,144.9108221,Melbourne Showgrounds
