Geo Point,Geo Shape,night_only,loc_desc,ref,num_spaces,safe_city
"-37.813699729532, 144.957724746365","{""coordinates"": [144.957724746365, -37.813699729532], ""type"": ""Point""}",No,Lonsdale Street between Queen Street and William Street,8,1,No
"-37.819407421255, 144.953274232669","{""coordinates"": [144.953274232669, -37.819407421255], ""type"": ""Point""}",No,Collins Street between Spencer Street and Batmans Hill Drive,12,5,No
"-37.813803234929, 144.97256799878","{""coordinates"": [144.97256799878, -37.813803234929], ""type"": ""Point""}",No,Collins Street between Spring Street and Exhibition Street,46,7,No
"-37.833879766975, 144.982581901032","{""coordinates"": [144.982581901032, -37.833879766975], ""type"": ""Point""}",No,Birdwood Avenue between Dallas Brooks Drive and Domain Road,65,6,No
"-37.815877104905, 144.964926355964","{""coordinates"": [144.964926355964, -37.815877104905], ""type"": ""Point""}",No,Collins Street between Swanston Street and Elizabeth Street,27,3,No
"-37.810983324176, 144.961766589692","{""coordinates"": [144.961766589692, -37.810983324176], ""type"": ""Point""}",No,Elizabeth Street between Little Lonsdale Street and La Trobe Street,31,4,No
"-37.807765462287, 144.968441130705","{""coordinates"": [144.968441130705, -37.807765462287], ""type"": ""Point""}",No,Exhibition Street between La Trobe Street and Victoria Street,34,2,No
"-37.809750629726, 144.969622952391","{""coordinates"": [144.969622952391, -37.809750629726], ""type"": ""Point""}",No,Exhibition Street between Lonsdale Street and Little Lonsdale Street,35,7,No
"-37.815980174729, 144.963854189827","{""coordinates"": [144.963854189827, -37.815980174729], ""type"": ""Point""}",No,Elizabeth Street between Collins Street and Little Collins Street,21,2,No
"-37.821258397135, 144.964411571626","{""coordinates"": [144.964411571626, -37.821258397135], ""type"": ""Point""}",No,Riverside Quay between Cook Street and Southgate Avenue,68,8,No
"-37.813913169396, 144.962908854161","{""coordinates"": [144.962908854161, -37.813913169396], ""type"": ""Point""}",No,Elizabeth Street between Bourke Street and Little Bourke Street,29,3,No
